Australia,2022-03-29 10:12,10,27265
Australia,2022-03-29 11:00,11,26783
Australia,2022-03-29 12:05,12,26513
Australia,2022-03-29 09:06,9,25778
Australia,2022-03-29 07:00,7,23942
Australia,2022-03-29 08:03,8,23092
Australia,2022-03-29 13:10,13,21346
Australia,2022-03-31 06:55,6,4661
Canada,2022-03-29 12:07,12,22672
Canada,2022-03-29 11:09,11,21379
Canada,2022-03-29 07:25,7,19988
Canada,2022-03-29 10:07,10,19509
Canada,2022-03-29 09:04,9,18886
Canada,2022-03-29 13:04,13,18053
Canada,2022-03-29 08:10,8,17086
Canada,2022-03-29 06:55,6,2110
China,2022-03-30 12:01,12,19690
China,2022-03-29 11:00,11,18229
China,2022-03-29 08:12,8,17120
China,2022-03-29 10:04,10,16946
China,2022-03-29 07:10,7,16131
China,2022-03-29 09:00,9,16078
China,2022-03-29 13:03,13,13662
China,2022-03-29 06:57,6,2517
Germany,2022-03-29 11:05,11,25447
Germany,2022-03-29 09:01,9,22665
Germany,2022-03-29 07:04,7,22618
Germany,2022-03-29 12:04,12,22308
Germany,2022-03-29 08:03,8,22223
Germany,2022-03-29 10:08,10,21929
Germany,2022-03-29 13:27,13,21202
Germany,2022-03-29 06:59,6,3619
Japan,2022-03-29 10:59,10,24440
Japan,2022-03-29 11:09,11,23436
Japan,2022-03-29 07:17,7,22511
Japan,2022-03-29 08:04,8,22010
Japan,2022-03-29 09:03,9,21926
Japan,2022-03-29 12:04,12,21515
Japan,2022-03-29 13:07,13,19769
Japan,2022-04-01 06:59,6,3264
United States,2022-03-29 12:01,12,35266
United States,2022-03-29 09:03,9,34398
United States,2022-03-29 07:13,7,34262
United States,2022-03-29 08:03,8,33431
United States,2022-03-29 11:01,11,32796
United States,2022-03-29 10:00,10,30089
United States,2022-03-29 13:04,13,28879
United States,2022-03-31 06:59,6,3508
